Course,Professor,Slot type,Student's class,Student's type,Visit duration (in minutes),Date (of the appointment/visit),Status (of the appointment/visit),
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,60,11/9/2021 15:41,Check In,
MATH 108X,Kent Bessey,DropIn,Sophomore,OnCampus,60,11/9/2021 15:38,Check In,
MATH 100B,Rachel Hurst,DropIn,Freshman,OnCampus,60,11/9/2021 15:35,Check In,
MATH 221A,Emily Walsh,DropIn,Sophomore,OnCampus,60,11/9/2021 15:29,Check In,
MATH 215,Troy Goodsell,DropIn,Junior,OnCampus,60,11/9/2021 15:24,Check In,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,60,11/9/2021 15:13,Check In,
MATH 215,Troy Goodsell,DropIn,Senior,OnCampus,60,11/9/2021 15:12,Check In,
MATH 221C,Melanie Kennelly,DropIn,Sophomore,OnCampus,60,11/9/2021 15:11,Check In,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,60,11/9/2021 15:02,Check In,
MATH 108X,Curtis Nelson,DropIn,Freshman,OnCampus,60,11/9/2021 15:02,Check In,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,60,11/9/2021 14:38,Check In,
MATH 221C,Melanie Kennelly,DropIn,Sophomore,OnCampus,60,11/9/2021 14:36,Check In,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,12.33,11/9/2021 14:35,Attended,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,60,11/9/2021 14:29,Check In,
MATH 221A,Lawrence Chilton,DropIn,Sophomore,OnCampus,60,11/9/2021 14:22,Check In,
MATH 101,Daniel Baird,DropIn,Freshman,OnCampus,60,11/9/2021 14:19,Check In,
MATH 221B,Brett Amidan,DropIn,Senior,OnCampus,60,11/9/2021 14:18,Check In,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,60,11/9/2021 14:18,Check In,
MATH 100B,Rachel Hurst,DropIn,Freshman,OnCampus,37.58,11/9/2021 14:17,Attended,
MATH 221B,Brett Amidan,DropIn,Sophomore,OnCampus,51.28,11/9/2021 14:10,Attended,
MATH 112X,Matthew Lewis,DropIn,Freshman,OnCampus,60,11/9/2021 14:03,Check In,
MATH 341,John Sinkovic,DropIn,Junior,OnCampus,60,11/9/2021 14:02,Check In,
MATH 108X,Daris Howard,DropIn,Sophomore,OnCampus,60,11/9/2021 13:51,Check In,
MATH 112X,Elaine Wagner,DropIn,NonMatriculated,OnCampus,70.69,11/9/2021 13:42,Attended,
MATH 100B,Alisa VanOrden,DropIn,Freshman,OnCampus,67.25,11/9/2021 13:40,Attended,
MATH 100B,Daniel Baird,DropIn,NonMatriculated,OnCampus,125.89,11/9/2021 13:32,Attended,
MATH 108X,Ryan Warr,DropIn,Freshman,OnCampus,33.35,11/9/2021 13:30,Attended,
MATH 221C,Melanie Kennelly,DropIn,Freshman,OnCampus,83.08,11/9/2021 13:27,Attended,
MATH 350,Brady Ward,DropIn,Junior,OnCampus,18.35,11/9/2021 13:19,Attended,
MATH 112X,Tim Goodwill,DropIn,Sophomore,OnCampus,60,11/9/2021 12:44,Check In,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,37.98,11/9/2021 12:36,Attended,
MATH 221B,Brett Amidan,DropIn,Freshman,OnCampus,55.69,11/9/2021 12:35,Attended,
MATH 101,Cynthia Ruchti,DropIn,Freshman,OnCampus,126.91,11/9/2021 12:34,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,75.64,11/9/2021 12:30,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,73.13,11/9/2021 12:30,Attended,
MATH 100B,Kristin Ballou,DropIn,Freshman,OnCampus,60,11/9/2021 12:30,Check In,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,60,11/9/2021 10:40,Check In,
MATH 100B,Daniel Baird,DropIn,Freshman,OnCampus,6.34,11/9/2021 10:33,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,60,11/9/2021 10:20,Check In,
MATH 112X,Katrina Johnson,DropIn,Sophomore,OnCampus,194.72,11/9/2021 10:12,Attended,
MATH 108X,Carrie Garner,DropIn,Sophomore,OnCampus,60,11/9/2021 10:09,Check In,
MATH 101,Daniel Baird,DropIn,Senior,OnCampus,60,11/9/2021 10:09,Check In,
MATH 205,Matt Webb,DropIn,Sophomore,OnCampus,60,11/9/2021 10:01,Check In,
MATH 100B,Rich Llewellyn,DropIn,Freshman,OnCampus,60,11/9/2021 9:56,Check In,
MATH 108X,John Sinkovic,DropIn,Sophomore,OnCampus,60,11/9/2021 9:44,Check In,
MATH 100B,Daniel Baird,DropIn,Freshman,OnCampus,30.8,11/9/2021 9:22,Attended,
MATH 100B,Daniel Baird,DropIn,Freshman,OnCampus,10.64,11/9/2021 9:20,Attended,
MATH 108X,Ryan Warr,DropIn,Sophomore,OnCampus,29.74,11/9/2021 9:15,Attended,
MATH 221A,Lawrence Chilton,DropIn,Sophomore,OnCampus,20.6,11/9/2021 8:58,Attended,
MATH 221C,Garrett Saunders,DropIn,Sophomore,OnCampus,60,11/9/2021 8:55,Check In,
MATH 112X,Matthew Lewis,DropIn,Senior,OnCampus,136.9,11/9/2021 8:54,Attended,
MATH 109,David Stohel,DropIn,Sophomore,OnCampus,44.12,11/9/2021 8:53,Attended,
MATH 100B,Cindy Goodwill,DropIn,Freshman,OnCampus,144.77,11/9/2021 8:52,Attended,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,0.12,11/8/2021 18:07,Attended,
MATH 108X,Carrie Garner,DropIn,Freshman,OnCampus,28.49,11/8/2021 17:48,Attended,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,29.06,11/8/2021 17:37,Attended,
MATH 108X,Matt Webb,DropIn,Freshman,OnCampus,51.49,11/8/2021 17:34,Attended,
MATH 100B,Alisha Oldroyd,DropIn,Freshman,OnCampus,60,11/8/2021 17:29,Check In,
MATH 221A,Lawrence Chilton,DropIn,Senior,OnCampus,56.64,11/8/2021 17:26,Attended,
MATH 108X,Daris Howard,DropIn,Freshman,OnCampus,0.26,11/8/2021 17:16,Attended,
MATH 108X,John Sinkovic,DropIn,Sophomore,OnCampus,84.03,11/8/2021 17:09,Attended,
MATH 108X,Paul Cannon,DropIn,Freshman,OnCampus,60,11/8/2021 17:08,Check In,
MATH 101,Daniel Baird,DropIn,Sophomore,OnCampus,11.04,11/8/2021 17:02,Attended,
,,DropIn,Freshman,OnCampus,60,11/8/2021 16:56,Check In,
MATH 110X,Heidi Turner,DropIn,Junior,OnCampus,60,11/8/2021 16:40,Check In,
MATH 109,Shane Goodwin,DropIn,Freshman,OnCampus,60,11/8/2021 16:37,Check In,
MATH 112X,Katrina Johnson,DropIn,Sophomore,OnCampus,33.92,11/8/2021 16:36,Attended,
MATH 108X,Carrie Garner,DropIn,Sophomore,OnCampus,30.56,11/8/2021 16:35,Attended,
MATH 108X,Donald Baldwin,DropIn,Senior,OnCampus,60,11/8/2021 16:31,Check In,
MATH 108X,Jennifer Pack,DropIn,Freshman,OnCampus,106.14,11/8/2021 16:29,Attended,
MATH 101,Elizabeth Crisp,DropIn,Freshman,OnCampus,99.58,11/8/2021 16:27,Attended,
MATH 101,Stephan O'Shaughnessy,DropIn,Freshman,OnCampus,126.06,11/8/2021 16:24,Attended,
MATH 215,Troy Goodsell,DropIn,Freshman,OnCampus,60,11/8/2021 16:22,Check In,
MATH 108X,Daris Howard,DropIn,Sophomore,OnCampus,118.9,11/8/2021 16:17,Attended,
MATH 221A,Ryan Warr,DropIn,Junior,OnCampus,60,11/8/2021 16:16,Check In,
MATH 108X,Tim Morse,DropIn,Sophomore,OnCampus,60,11/8/2021 16:11,Check In,
,,DropIn,Freshman,OnCampus,60,11/8/2021 16:09,Check In,
,,DropIn,Freshman,OnCampus,60,11/8/2021 15:59,Check In,
MATH 112X,Matthew Lewis,DropIn,Sophomore,OnCampus,48.21,11/8/2021 15:44,Attended,
MATH 112X,Katrina Johnson,DropIn,Freshman,OnCampus,168.02,11/8/2021 15:39,Attended,
MATH 112X,Tim Goodwill,DropIn,Freshman,OnCampus,168.45,11/8/2021 15:39,Attended,
MATH 221B,Brent Morring,DropIn,Freshman,OnCampus,119.1,11/8/2021 15:38,Attended,
MATH 108X,Donald Baldwin,DropIn,Freshman,OnCampus,60,11/8/2021 15:36,Check In,
