DATE,LFWA64TTUSM647N
1969-01-01,114804000
1969-02-01,114953000
1969-03-01,115092000
1969-04-01,115247000
1969-05-01,115411000
1969-06-01,115573000
1969-07-01,115743000
1969-08-01,115898000
1969-09-01,116048000
1969-10-01,116241000
1969-11-01,116441000
1969-12-01,116664000
1970-01-01,116875000
1970-02-01,117089000
1970-03-01,117283000
1970-04-01,117499000
1970-05-01,117740000
1970-06-01,117951000
1970-07-01,118178000
1970-08-01,118402000
1970-09-01,118628000
1970-10-01,118859000
1970-11-01,119099000
1970-12-01,119327000
1971-01-01,119567000
1971-02-01,119772000
1971-03-01,119995000
1971-04-01,120242000
1971-05-01,120473000
1971-06-01,120710000
1971-07-01,120930000
1971-08-01,121150000
1971-09-01,121379000
1971-10-01,121612000
1971-11-01,121826000
1971-12-01,122061000
1972-01-01,122879000
1972-02-01,123129000
1972-03-01,123353000
1972-04-01,123572000
1972-05-01,123816000
1972-06-01,124046000
1972-07-01,124260000
1972-08-01,124453000
1972-09-01,124648000
1972-10-01,124835000
1972-11-01,125018000
1972-12-01,125217000
1973-01-01,125453000
1973-02-01,125656000
1973-03-01,125982000
1973-04-01,126180000
1973-05-01,126404000
1973-06-01,126630000
1973-07-01,126842000
1973-08-01,127039000
1973-09-01,127255000
1973-10-01,127456000
1973-11-01,127657000
1973-12-01,127943000
1974-01-01,128049000
1974-02-01,128244000
1974-03-01,128448000
1974-04-01,128651000
1974-05-01,128877000
1974-06-01,129103000
1974-07-01,129296000
1974-08-01,129487000
1974-09-01,129695000
1974-10-01,129892000
1974-11-01,130087000
1974-12-01,130280000
1975-01-01,130493000
1975-02-01,130683000
1975-03-01,130868000
1975-04-01,131053000
1975-05-01,131270000
1975-06-01,131484000
1975-07-01,131756000
1975-08-01,131973000
1975-09-01,132194000
1975-10-01,132378000
1975-11-01,132587000
1975-12-01,132786000
1976-01-01,133004000
1976-02-01,133186000
1976-03-01,133376000
1976-04-01,133564000
1976-05-01,133765000
1976-06-01,133979000
1976-07-01,134179000
1976-08-01,134378000
1976-09-01,134578000
1976-10-01,134731000
1976-11-01,134927000
1976-12-01,135129000
1977-01-01,135345000
1977-02-01,135535000
1977-03-01,135719000
1977-04-01,135917000
1977-05-01,136141000
1977-06-01,136361000
1977-07-01,136566000
1977-08-01,136758000
1977-09-01,136950000
1977-10-01,137134000
1977-11-01,137305000
1977-12-01,137503000
1978-01-01,137702000
1978-02-01,137880000
1978-03-01,138051000
1978-04-01,138236000
1978-05-01,138441000
1978-06-01,138665000
1978-07-01,138849000
1978-08-01,139031000
1978-09-01,139212000
1978-10-01,139428000
1978-11-01,139616000
1978-12-01,139822000
1979-01-01,140029000
1979-02-01,140206000
1979-03-01,140436000
1979-04-01,140541000
1979-05-01,140776000
1979-06-01,140989000
1979-07-01,141185000
1979-08-01,141358000
1979-09-01,141537000
1979-10-01,141847000
1979-11-01,142032000
1979-12-01,142233000
1980-01-01,142437000
1980-02-01,142615000
1980-03-01,142790000
1980-04-01,142964000
1980-05-01,143137000
1980-06-01,143325000
1980-07-01,143558000
1980-08-01,143683000
1980-09-01,143829000
1980-10-01,143984000
1980-11-01,144135000
1980-12-01,144286000
1981-01-01,144479000
1981-02-01,144629000
1981-03-01,144767000
1981-04-01,144918000
1981-05-01,145067000
1981-06-01,145226000
1981-07-01,145380000
1981-08-01,145487000
1981-09-01,145630000
1981-10-01,145788000
1981-11-01,145931000
1981-12-01,146057000
1982-01-01,146189000
1982-02-01,146308000
1982-03-01,146435000
1982-04-01,146565000
1982-05-01,146701000
1982-06-01,146832000
1982-07-01,146961000
1982-08-01,147059000
1982-09-01,147187000
1982-10-01,147328000
1982-11-01,147460000
1982-12-01,147580000
1983-01-01,147691000
1983-02-01,147808000
1983-03-01,147918000
1983-04-01,148023000
1983-05-01,148145000
1983-06-01,148271000
1983-07-01,148402000
1983-08-01,148488000
1983-09-01,148601000
1983-10-01,148722000
1983-11-01,148847000
1983-12-01,148961000
1984-01-01,149342000
1984-02-01,149450000
1984-03-01,149555000
1984-04-01,149659000
1984-05-01,149775000
1984-06-01,149890000
1984-07-01,149999000
1984-08-01,150094000
1984-09-01,150212000
1984-10-01,150350000
1984-11-01,150477000
1984-12-01,150594000
1985-01-01,150626000
1985-02-01,150719000
1985-03-01,150849000
1985-04-01,150922000
1985-05-01,151028000
1985-06-01,151160000
1985-07-01,151255000
1985-08-01,151348000
1985-09-01,151428000
1985-10-01,151591000
1985-11-01,151725000
1985-12-01,151846000
1986-01-01,152474000
1986-02-01,152557000
1986-03-01,152677000
1986-04-01,152766000
1986-05-01,152876000
1986-06-01,153022000
1986-07-01,153141000
1986-08-01,153266000
1986-09-01,153367000
1986-10-01,153536000
1986-11-01,153645000
1986-12-01,153756000
1987-01-01,153968000
1987-02-01,154123000
1987-03-01,154229000
1987-04-01,154362000
1987-05-01,154490000
1987-06-01,154605000
1987-07-01,154727000
1987-08-01,154811000
1987-09-01,154937000
1987-10-01,155054000
1987-11-01,155168000
1987-12-01,155258000
1988-01-01,155396000
1988-02-01,155503000
1988-03-01,155607000
1988-04-01,155702000
1988-05-01,155830000
1988-06-01,155985000
1988-07-01,156130000
1988-08-01,156203000
1988-09-01,156284000
1988-10-01,156395000
1988-11-01,156447000
1988-12-01,156527000
1989-01-01,156752000
1989-02-01,156812000
1989-03-01,156886000
1989-04-01,156959000
1989-05-01,157044000
1989-06-01,157177000
1989-07-01,157284000
1989-08-01,157385000
1989-09-01,157474000
1989-10-01,157568000
1989-11-01,157612000
1989-12-01,157703000
1990-01-01,159353000
1990-02-01,159442000
1990-03-01,159547000
1990-04-01,159631000
1990-05-01,159724000
1990-06-01,159812000
1990-07-01,159904000
1990-08-01,160041000
1990-09-01,160191000
1990-10-01,160331000
1990-11-01,160467000
1990-12-01,160564000
1991-01-01,160655000
1991-02-01,160710000
1991-03-01,160794000
1991-04-01,160921000
1991-05-01,161017000
1991-06-01,161141000
1991-07-01,161217000
1991-08-01,161354000
1991-09-01,161521000
1991-10-01,161663000
1991-11-01,161798000
